unit,carriage,c_unload,geo\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 
MIO_TKM,HIRE,HU,EL	115 	64 	: 	11 	16 	27 	35 	23 	33 	30 	25 	20 	51 	18 	34 	65 	56 	: 	: 	: 	: 	75 	71 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
MIO_TKM,HIRE,HU,ES	195 	60 	26 	62 	81 	95 	114 	69 	140 	151 	69 	: 	128 	51 	96 	57 	90 	131 	33 	18 	14 	16 	34 	: 	: 	0 	: 	0 	0 	: 	: 	0 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,HU,EU15	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	58 	14 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,HU,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2 	2 	: 	9 	11 	12 	3 	: 	6 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,HU,FR	2 	: 	: 	4 	: 	5 	: 	3 	: 	4 	: 	: 	3 	10 	13 	36 	25 	12 	42 	23 	34 	36 	0 	34 	64 	57 	38 	0 	18 	15 	6 	20 	6 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,HU,HR	139 	157 	114 	108 	101 	122 	102 	65 	79 	72 	74 	77 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,HU,IE	: 	5 	: 	: 	3 	: 	: 	7 	2 	: 	: 	: 	: 	10 	5 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,HU,IT	46 	7 	27 	38 	15 	4 	38 	: 	142 	51 	35 	55 	40 	121 	14 	54 	102 	138 	204 	54 	44 	: 	87 	78 	14 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,HU,LI	: 	: 	: 	: 	: 	: 	: 	: 	1 	1 	: 	: 	0 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,HU,LT	112 	40 	59 	101 	68 	64 	69 	74 	87 	77 	51 	43 	65 	30 	60 	53 	86 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,HU,LU	0 	: 	: 	: 	3 	: 	4 	2 	: 	2 	7 	1 	2 	0 	: 	9 	6 	3 	2 	2 	5 	: 	: 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,HU,LV	10 	10 	: 	56 	29 	29 	44 	27 	34 	5 	16 	22 	16 	33 	35 	54 	20 	4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,HU,NL	12 	79 	9 	15 	25 	12 	25 	12 	62 	56 	94 	42 	31 	62 	92 	127 	113 	101 	101 	103 	121 	0 	0 	0 	0 	0 	0 	0 	0 	19 	16 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,HU,NO	: 	: 	: 	: 	: 	6 	8 	: 	: 	: 	2 	: 	: 	: 	2 	: 	10 	: 	1 	14 	1 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,HU,PL	1973 	1805 	1643 	1227 	1198 	951 	1260 	797 	692 	775 	690 	716 	545 	588 	497 	402 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,HU,PT	70 	54 	: 	: 	49 	: 	29 	: 	: 	: 	23 	6 	2 	86 	39 	20 	: 	10 	: 	: 	: 	6 	: 	6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,HU,RO	480 	357 	379 	237 	231 	277 	266 	314 	203 	161 	124 	163 	164 	421 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,HU,SE	: 	: 	: 	6 	5 	2 	: 	1 	6 	1 	1 	5 	5 	4 	25 	10 	26 	18 	11 	14 	15 	23 	29 	20 	34 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,HU,SI	202 	230 	156 	143 	145 	123 	109 	132 	132 	108 	71 	93 	68 	99 	71 	75 	105 	37 	68 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,HU,SK	468 	461 	351 	440 	322 	390 	349 	420 	423 	311 	410 	326 	348 	356 	389 	268 	225 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,HU,UK	4 	15 	0 	: 	1 	0 	9 	0 	4 	12 	1 	2 	4 	2 	10 	6 	2 	7 	21 	7 	16 	17 	24 	10 	23 	15 	5 	14 	28 	6 	1 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,IE,AT	: 	1 	4 	: 	5 	4 	: 	4 	: 	: 	: 	: 	: 	: 	: 	0 	: 	0 	0 	1 	: 	: 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,IE,BE	3 	11 	: 	2 	9 	7 	4 	4 	11 	5 	5 	4 	0 	3 	4 	: 	0 	2 	1 	11 	1 	1 	8 	1 	3 	16 	2 	1 	8 	4 	3 	5 	1 	3 	: 	: 	3 	: 
MIO_TKM,HIRE,IE,CH	: 	: 	: 	: 	: 	: 	: 	: 	0 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,IE,CZ	14 	: 	8 	: 	11 	: 	13 	8 	7 	18 	23 	24 	27 	23 	101 	61 	27 	: 	30 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,IE,DE	: 	: 	6 	: 	: 	13 	10 	2 	18 	37 	13 	11 	12 	19 	71 	53 	3 	2 	9 	2 	5 	89 	9 	9 	6 	16 	3 	3 	3 	3 	7 	8 	8 	14 	14 	15 	11 	10 
MIO_TKM,HIRE,IE,DK	: 	: 	: 	: 	: 	: 	: 	5 	: 	: 	5 	33 	16 	61 	28 	9 	11 	28 	23 	6 	: 	1 	6 	0 	: 	5 	3 	9 	11 	17 	19 	11 	21 	23 	22 	28 	18 	12 
MIO_TKM,HIRE,IE,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,IE,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	: 	0 	: 	0 	0 	: 	0 	: 	0 	0 	0 
MIO_TKM,HIRE,IE,ES	54 	76 	63 	: 	73 	27 	10 	: 	: 	: 	16 	: 	: 	52 	32 	27 	30 	: 	21 	40 	: 	: 	: 	: 	: 	: 	9 	3 	3 	: 	: 	12 	8 	6 	: 	: 	: 	: 
MIO_TKM,HIRE,IE,EU15	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	61 	65 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,IE,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,IE,FR	: 	7 	: 	1 	: 	: 	: 	3 	: 	2 	8 	14 	20 	6 	12 	25 	10 	6 	39 	24 	25 	: 	10 	30 	2 	2 	: 	9 	: 	2 	5 	2 	2 	: 	0 	2 	2 	5 
MIO_TKM,HIRE,IE,HR	: 	: 	: 	: 	: 	: 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,IE,HU	8 	10 	10 	1 	: 	14 	3 	2 	18 	12 	20 	22 	10 	26 	12 	21 	7 	7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,IE,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	34 	6 	32 	25 	: 	: 	3 	: 	: 	31 	: 	: 	15 	15 	15 	44 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,IE,LT	49 	21 	6 	32 	9 	30 	22 	17 	6 	: 	8 	11 	1 	24 	6 	9 	21 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,IE,LU	: 	: 	: 	: 	: 	2 	: 	0 	: 	: 	0 	2 	4 	: 	: 	: 	2 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2 	: 
MIO_TKM,HIRE,IE,LV	: 	: 	: 	9 	: 	: 	: 	9 	: 	: 	7 	11 	: 	8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,IE,NL	64 	41 	32 	34 	35 	27 	37 	45 	23 	26 	33 	59 	85 	137 	88 	69 	21 	32 	23 	21 	15 	14 	12 	11 	10 	11 	9 	6 	6 	7 	6 	5 	4 	4 	4 	4 	2 	2 
MIO_TKM,HIRE,IE,NO	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,IE,PL	223 	312 	25 	177 	285 	103 	41 	101 	67 	188 	226 	147 	102 	71 	49 	40 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,IE,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	3 	40 	: 	: 	: 	: 	: 	: 	: 	: 	1 	4 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 	: 	: 	: 
MIO_TKM,HIRE,IE,RO	: 	18 	: 	: 	6 	: 	13 	: 	: 	: 	: 	: 	23 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,IE,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5 	: 	0 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,IE,SI	: 	: 	: 	12 	: 	: 	: 	7 	8 	7 	: 	: 	2 	19 	: 	7 	7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,IE,SK	: 	3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,IE,UK	797 	897 	555 	604 	768 	826 	806 	835 	796 	744 	625 	699 	929 	815 	866 	829 	678 	669 	418 	411 	486 	33 	45 	45 	37 	37 	20 	19 	49 	45 	28 	54 	23 	24 	19 	20 	23 	21 
MIO_TKM,HIRE,IL,CY	: 	: 	: 	: 	: 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,IL,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,IQ,BG	: 	: 	: 	: 	: 	: 	: 	31 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,IQ,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,IQ,RO	: 	: 	: 	: 	: 	: 	: 	3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,IR,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,IR,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,IS,BE	: 	: 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,IS,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,IS,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,IS,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,IS,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	44 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,IS,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,IT,AT	806 	827 	801 	845 	821 	880 	809 	1013 	1414 	1453 	1609 	2017 	2315 	2553 	2449 	2667 	2678 	2554 	2529 	2307 	2163 	671 	608 	573 	868 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,IT,BE	135 	131 	33 	82 	107 	111 	156 	136 	207 	311 	311 	307 	349 	420 	598 	710 	823 	888 	1177 	885 	760 	1012 	1146 	1146 	1346 	1479 	1262 	1173 	1445 	1488 	1264 	1039 	787 	723 	653 	643 	542 	592 
MIO_TKM,HIRE,IT,BG	353 	524 	512 	580 	1082 	574 	765 	624 	865 	561 	231 	300 	611 	344 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,IT,CH	43 	65 	42 	56 	30 	54 	113 	135 	219 	271 	307 	322 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,IT,CY	0 	0 	0 	: 	0 	0 	: 	: 	: 	0 	0 	: 	: 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,IT,CZ	457 	724 	734 	1166 	1203 	1218 	1025 	1058 	1180 	1329 	1322 	1305 	940 	1155 	841 	896 	1188 	1081 	1387 	1131 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,IT,DE	1649 	1698 	1855 	1801 	2346 	2210 	2139 	2815 	2965 	3230 	3486 	3761 	4171 	4740 	4067 	4576 	3992 	3948 	3712 	3876 	3680 	4330 	3944 	3153 	2900 	2803 	3029 	3179 	2731 	2311 	2862 	2983 	2773 	2605 	2512 	2420 	2286 	2279 
MIO_TKM,HIRE,IT,DK	56 	27 	75 	79 	49 	20 	40 	85 	112 	104 	290 	272 	332 	346 	765 	749 	811 	851 	798 	827 	741 	733 	672 	579 	645 	557 	537 	399 	397 	373 	361 	339 	363 	367 	317 	287 	290 	265 
MIO_TKM,HIRE,IT,EE	41 	129 	104 	97 	220 	172 	101 	109 	131 	146 	175 	318 	146 	122 	162 	230 	112 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,IT,EL	892 	1318 	1124 	311 	349 	299 	264 	351 	289 	404 	363 	447 	581 	774 	470 	558 	400 	: 	: 	: 	: 	1 	0 	2 	5 	24 	182 	368 	61 	97 	151 	67 	79 	77 	66 	87 	124 	103 
MIO_TKM,HIRE,IT,ES	3729 	4178 	3901 	3619 	3808 	3736 	3271 	3930 	3264 	4102 	3727 	4697 	3987 	4043 	3998 	3723 	3709 	3640 	2727 	2614 	2461 	2475 	2440 	1984 	1803 	1535 	1210 	1125 	1156 	667 	330 	717 	879 	748 	: 	: 	: 	: 
MIO_TKM,HIRE,IT,EU15	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14710 	14979 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,IT,FI	: 	: 	: 	: 	: 	16 	70 	41 	: 	3 	1 	32 	42 	36 	29 	77 	48 	74 	90 	39 	28 	60 	63 	76 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,IT,FR	981 	1237 	1279 	1226 	1343 	1493 	1731 	1689 	2018 	2070 	1860 	2858 	3144 	3400 	3277 	4437 	4098 	4207 	4646 	4828 	5558 	5489 	4885 	4750 	4095 	4588 	4285 	4302 	4543 	4831 	3998 	3832 	2863 	2867 	2515 	2497 	2280 	2127 
MIO_TKM,HIRE,IT,HR	997 	872 	838 	871 	649 	567 	446 	343 	425 	438 	514 	412 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,IT,HU	1421 	1445 	1694 	1617 	1150 	1109 	1239 	1230 	1373 	1407 	1530 	1495 	1696 	1524 	1131 	712 	512 	503 	534 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,IT,IE	38 	64 	76 	41 	62 	68 	50 	58 	55 	113 	172 	117 	87 	92 	187 	142 	114 	98 	34 	65 	58 	: 	: 	: 	: 	: 	66 	17 	24 	68 	86 	27 	29 	30 	28 	24 	29 	18 
MIO_TKM,HIRE,IT,LI	: 	: 	: 	: 	: 	: 	0 	1 	2 	1 	1 	: 	4 	4 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,IT,LT	1178 	799 	663 	457 	451 	619 	681 	522 	609 	423 	404 	273 	489 	532 	472 	375 	293 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,IT,LU	24 	35 	18 	27 	32 	33 	54 	66 	32 	53 	29 	37 	80 	54 	80 	118 	94 	102 	78 	86 	54 	: 	2 	2 	2 	91 	89 	137 	: 	: 	: 	: 	: 	29 	16 	20 	17 	15 
MIO_TKM,HIRE,IT,LV	216 	376 	317 	328 	351 	413 	236 	355 	326 	333 	236 	298 	377 	217 	152 	160 	137 	151 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,IT,NL	370 	304 	461 	439 	405 	541 	444 	629 	894 	846 	1197 	980 	1117 	1340 	1490 	1485 	1378 	1564 	1582 	1544 	1610 	1731 	1652 	1557 	1739 	1863 	1904 	2083 	2084 	2111 	2052 	1943 	1852 	1655 	1432 	1274 	1047 	916 
MIO_TKM,HIRE,IT,NO	6 	17 	9 	8 	: 	4 	12 	: 	30 	88 	77 	8 	118 	139 	79 	122 	44 	87 	143 	85 	92 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,IT,PL	6063 	5380 	5686 	4647 	4444 	4736 	3890 	3512 	3346 	3020 	2585 	2154 	2106 	1624 	1378 	1259 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,IT,PT	374 	382 	519 	587 	548 	895 	836 	423 	850 	834 	850 	888 	1524 	1372 	1260 	1038 	601 	816 	591 	897 	592 	694 	669 	644 	: 	590 	640 	844 	894 	608 	473 	187 	150 	98 	: 	: 	: 	: 
MIO_TKM,HIRE,IT,RO	1703 	1328 	1238 	903 	994 	807 	938 	1197 	830 	974 	1081 	2588 	3411 	4632 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,IT,SE	14 	16 	45 	19 	57 	29 	35 	50 	89 	73 	59 	97 	69 	103 	102 	115 	85 	113 	109 	91 	64 	95 	64 	77 	111 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,IT,SI	1216 	1410 	1195 	967 	911 	877 	780 	832 	711 	815 	609 	758 	689 	678 	529 	384 	245 	283 	267 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,IT,SK	791 	963 	962 	982 	864 	709 	628 	805 	955 	1171 	588 	846 	899 	810 	878 	601 	689 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,IT,UK	170 	248 	303 	239 	189 	330 	305 	264 	290 	382 	348 	362 	425 	463 	455 	786 	879 	980 	1251 	1417 	1334 	1495 	1498 	1386 	1690 	1641 	1506 	1352 	1407 	1403 	1265 	1175 	1146 	733 	605 	663 	592 	414 
MIO_TKM,HIRE,JO,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,KG,DE	0 	: 	: 	: 	: 	: 	: 	: 	: 	12 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,KG,LT	: 	: 	37 	: 	13 	7 	: 	: 	15 	: 	: 	: 	: 	: 	5 	: 	33 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,KG,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,KG,SI	: 	: 	: 	22 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,KZ,CZ	: 	: 	: 	: 	5 	10 	: 	12 	: 	: 	: 	9 	: 	: 	: 	: 	: 	70 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,KZ,DE	: 	: 	: 	5 	12 	5 	2 	30 	35 	: 	: 	5 	: 	: 	: 	4 	33 	8 	9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,KZ,EE	: 	: 	: 	: 	: 	8 	: 	: 	7 	: 	17 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,KZ,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,KZ,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,KZ,LT	167 	141 	80 	128 	123 	217 	151 	97 	133 	72 	174 	58 	178 	245 	209 	186 	40 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
