unit,carriage,c_load,geo\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 
MIO_TKM,HIRE,AT,BE	42 	35 	25 	18 	40 	20 	30 	20 	8 	8 	14 	15 	34 	39 	35 	75 	99 	29 	30 	53 	93 	112 	102 	129 	: 	: 	: 	: 	74 	54 	83 	70 	45 	0 	32 	38 	0 	0 
MIO_TKM,HIRE,AT,BG	104 	114 	95 	151 	216 	91 	105 	89 	13 	76 	115 	52 	153 	43 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,AT,CH	24 	22 	28 	18 	43 	34 	57 	37 	36 	46 	104 	70 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,AT,CY	0 	0 	: 	0 	: 	: 	: 	: 	: 	0 	0 	: 	0 	0 	0 	0 	1 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,AT,CZ	339 	351 	401 	407 	558 	544 	537 	461 	544 	556 	325 	436 	370 	336 	279 	288 	194 	272 	358 	152 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,AT,DE	1387 	1493 	1479 	1512 	1454 	1510 	1646 	1711 	1777 	2027 	1719 	2244 	2773 	2270 	2178 	2546 	2280 	1754 	1966 	1640 	1223 	1298 	1333 	955 	748 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MIO_TKM,HIRE,AT,DK	: 	2 	3 	10 	3 	: 	: 	12 	8 	9 	37 	50 	45 	27 	46 	58 	96 	103 	81 	87 	104 	83 	76 	46 	47 	47 	57 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MIO_TKM,HIRE,AT,EE	4 	20 	23 	9 	17 	14 	41 	25 	4 	7 	10 	47 	9 	11 	19 	36 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,AT,EL	54 	99 	134 	42 	50 	10 	48 	: 	33 	22 	21 	52 	49 	8 	59 	11 	43 	: 	: 	: 	: 	: 	14 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MIO_TKM,HIRE,AT,ES	405 	65 	194 	66 	179 	174 	182 	157 	126 	187 	173 	131 	65 	148 	45 	202 	238 	247 	162 	88 	67 	45 	64 	52 	31 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
MIO_TKM,HIRE,AT,EU15	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2586 	: 	: 	335 	375 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,AT,FI	: 	: 	: 	: 	: 	19 	: 	: 	: 	20 	: 	: 	3 	: 	: 	20 	3 	1 	14 	: 	4 	: 	3 	4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,AT,FR	7 	11 	0 	13 	2 	6 	11 	6 	5 	6 	17 	10 	39 	50 	40 	76 	117 	90 	91 	153 	216 	197 	118 	233 	111 	114 	95 	162 	156 	115 	61 	70 	66 	70 	24 	21 	47 	0 
MIO_TKM,HIRE,AT,HR	211 	251 	232 	222 	147 	181 	128 	135 	144 	142 	172 	191 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,AT,HU	701 	729 	715 	602 	671 	541 	540 	468 	485 	409 	401 	462 	472 	396 	294 	177 	164 	132 	152 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,AT,IE	: 	: 	: 	6 	: 	1 	: 	7 	10 	: 	: 	1 	: 	: 	: 	: 	16 	9 	11 	3 	1 	: 	: 	: 	: 	: 	: 	4 	: 	1 	: 	3 	13 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,AT,IT	459 	288 	169 	107 	400 	382 	284 	357 	567 	551 	523 	359 	373 	581 	540 	618 	481 	610 	649 	733 	563 	: 	451 	618 	1 	71 	65 	70 	106 	29 	70 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,AT,LI	: 	: 	: 	: 	: 	: 	2 	1 	2 	2 	3 	2 	1 	3 	4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,AT,LT	88 	71 	76 	31 	49 	58 	67 	87 	54 	30 	41 	60 	56 	62 	27 	34 	23 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,AT,LU	3 	4 	2 	: 	2 	0 	12 	9 	5 	7 	5 	6 	5 	4 	7 	3 	10 	9 	22 	24 	16 	: 	0 	1 	0 	1 	4 	6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,AT,LV	4 	28 	36 	27 	27 	43 	40 	23 	10 	11 	18 	50 	22 	6 	20 	26 	24 	13 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,AT,NL	62 	122 	62 	80 	117 	71 	100 	124 	104 	66 	58 	87 	139 	153 	233 	257 	255 	225 	198 	217 	253 	315 	323 	332 	0 	0 	0 	0 	0 	244 	212 	188 	154 	140 	0 	102 	0 	0 
MIO_TKM,HIRE,AT,NO	: 	: 	1 	: 	: 	: 	: 	: 	: 	1 	1 	4 	17 	: 	4 	6 	9 	9 	5 	33 	19 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,AT,PL	1413 	1111 	1491 	899 	762 	837 	988 	767 	822 	876 	591 	584 	597 	387 	275 	204 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,AT,PT	144 	164 	39 	33 	19 	91 	38 	137 	20 	82 	: 	35 	66 	224 	6 	121 	27 	57 	60 	128 	40 	12 	36 	26 	0 	76 	29 	: 	21 	25 	12 	52 	19 	0 	: 	: 	: 	: 
MIO_TKM,HIRE,AT,RO	457 	406 	370 	404 	332 	227 	254 	179 	122 	141 	221 	327 	541 	337 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,AT,SE	3 	16 	41 	5 	1 	8 	14 	5 	11 	4 	3 	0 	25 	23 	4 	12 	14 	3 	47 	2 	7 	12 	11 	24 	15 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,AT,SI	570 	490 	537 	391 	373 	426 	352 	353 	336 	285 	227 	314 	225 	220 	200 	174 	135 	114 	132 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,AT,SK	535 	536 	510 	430 	498 	321 	287 	294 	292 	295 	349 	288 	224 	143 	172 	176 	154 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,AT,UK	15 	16 	7 	5 	10 	1 	9 	14 	17 	6 	7 	3 	16 	19 	47 	10 	32 	25 	28 	53 	107 	142 	271 	164 	139 	138 	85 	133 	58 	114 	92 	39 	0 	0 	33 	37 	42 	35 
MIO_TKM,HIRE,AZ,BG	4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,AZ,PL	: 	: 	: 	: 	: 	: 	35 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,BA,AT	: 	: 	: 	: 	: 	: 	2 	: 	1 	2 	3 	: 	5 	2 	0 	0 	3 	0 	1 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,BA,BG	11 	: 	: 	13 	: 	: 	: 	74 	: 	: 	: 	8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,BA,CZ	: 	4 	: 	: 	: 	: 	4 	: 	2 	12 	11 	: 	6 	8 	10 	: 	33 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,BA,DE	: 	: 	: 	: 	2 	: 	: 	: 	1 	: 	: 	: 	: 	9 	1 	4 	1 	: 	: 	3 	22 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,BA,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6 	: 	1 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,BA,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,BA,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
