unit,carriage,c_load,geo\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 
MIO_TKM,OWN,UNK,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,UNK,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,UNK,FI	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,UNK,UK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	1 	7 	3 	: 	: 	: 	4 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,VA,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,WORLD,AT	681 	602 	637 	665 	582 	693 	585 	735 	773 	713 	737 	844 	951 	895 	948 	1135 	1260 	1141 	1186 	1168 	1101 	313 	270 	289 	316 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,WORLD,BE	389 	409 	356 	484 	506 	397 	475 	347 	740 	547 	839 	560 	577 	752 	813 	1240 	1013 	799 	500 	538 	859 	946 	971 	1095 	1288 	1159 	1216 	1373 	2487 	2527 	2210 	2126 	1961 	1898 	1721 	1511 	971 	1101 
MIO_TKM,OWN,WORLD,BG	211 	357 	83 	124 	203 	129 	190 	265 	218 	273 	121 	217 	131 	71 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,WORLD,CH	126 	127 	152 	98 	152 	338 	151 	226 	223 	129 	317 	134 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,WORLD,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,WORLD,CZ	146 	214 	273 	379 	532 	409 	460 	478 	341 	302 	327 	472 	413 	517 	613 	1176 	887 	420 	411 	322 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,WORLD,DE	829 	713 	808 	860 	920 	917 	1073 	1116 	1036 	1125 	1373 	1858 	1475 	1791 	1446 	1608 	1327 	1452 	1962 	1733 	1968 	1642 	1170 	1315 	1581 	1228 	1515 	1358 	1315 	1240 	1341 	1317 	1157 	1131 	1018 	1073 	1043 	1020 
MIO_TKM,OWN,WORLD,DK	5 	10 	19 	11 	19 	2 	26 	21 	21 	57 	49 	27 	44 	59 	26 	27 	33 	32 	20 	21 	30 	59 	40 	67 	24 	119 	307 	207 	191 	167 	162 	160 	175 	151 	147 	123 	133 	160 
MIO_TKM,OWN,WORLD,EE	9 	11 	69 	38 	21 	21 	35 	34 	23 	47 	17 	16 	20 	19 	31 	75 	26 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,WORLD,EL	: 	7 	: 	5 	0 	0 	: 	8 	5 	6 	16 	31 	4 	73 	46 	70 	104 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,WORLD,ES	134 	120 	103 	127 	103 	91 	128 	113 	125 	123 	128 	253 	248 	253 	226 	220 	194 	215 	315 	287 	250 	140 	120 	208 	311 	338 	431 	493 	499 	67 	113 	69 	33 	32 	: 	: 	: 	: 
MIO_TKM,OWN,WORLD,EU15	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5712 	: 	: 	5389 	5634 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,WORLD,FI	4 	5 	: 	8 	13 	: 	1 	9 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,WORLD,FR	508 	604 	494 	394 	436 	442 	388 	372 	522 	454 	369 	478 	452 	498 	526 	532 	626 	541 	438 	481 	521 	699 	952 	1242 	685 	709 	638 	815 	594 	744 	1409 	1323 	1073 	1044 	1017 	1045 	676 	686 
MIO_TKM,OWN,WORLD,HR	108 	107 	82 	75 	80 	52 	89 	106 	124 	133 	91 	139 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,WORLD,HU	347 	391 	374 	393 	225 	254 	242 	322 	357 	469 	476 	366 	383 	253 	168 	103 	107 	75 	99 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,WORLD,IE	56 	55 	51 	18 	34 	30 	40 	46 	37 	64 	63 	140 	84 	122 	136 	150 	145 	135 	167 	244 	59 	: 	: 	: 	: 	: 	15 	23 	22 	18 	32 	48 	34 	28 	20 	20 	50 	34 
MIO_TKM,OWN,WORLD,IT	44 	102 	69 	38 	50 	113 	104 	37 	94 	209 	39 	104 	141 	119 	367 	282 	214 	229 	329 	320 	267 	: 	314 	352 	412 	404 	399 	445 	460 	272 	177 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,WORLD,LI	: 	: 	: 	: 	: 	: 	2 	2 	2 	1 	1 	2 	2 	3 	5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,WORLD,LT	224 	186 	142 	175 	117 	153 	158 	148 	130 	128 	163 	287 	404 	389 	371 	320 	367 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,WORLD,LU	565 	402 	835 	715 	485 	391 	218 	216 	148 	129 	134 	150 	143 	128 	136 	136 	103 	103 	105 	92 	108 	: 	37 	35 	45 	113 	110 	117 	: 	: 	: 	: 	: 	64 	130 	87 	50 	72 
MIO_TKM,OWN,WORLD,LV	71 	60 	47 	75 	63 	82 	90 	55 	78 	42 	112 	92 	52 	84 	83 	75 	82 	77 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,WORLD,NL	824 	837 	869 	981 	1112 	1161 	1090 	1295 	1233 	1120 	1118 	1305 	1868 	1234 	1266 	1135 	924 	567 	751 	720 	715 	502 	503 	618 	606 	673 	545 	590 	635 	647 	666 	650 	499 	566 	513 	556 	534 	534 
MIO_TKM,OWN,WORLD,NO	56 	59 	72 	123 	119 	88 	37 	117 	162 	89 	85 	82 	162 	118 	80 	79 	130 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,WORLD,PL	2849 	2676 	2503 	2004 	1858 	2494 	2105 	2027 	1782 	2062 	1645 	1614 	1607 	1177 	1077 	1306 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,WORLD,PT	306 	295 	348 	304 	294 	557 	172 	766 	411 	439 	386 	558 	441 	760 	754 	690 	248 	258 	270 	281 	294 	212 	231 	176 	: 	: 	: 	: 	108 	: 	42 	81 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,WORLD,RO	1252 	1448 	1038 	1162 	780 	777 	903 	802 	712 	753 	1400 	3079 	1040 	2156 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,WORLD,SE	132 	60 	95 	70 	35 	61 	99 	87 	88 	71 	21 	38 	58 	71 	59 	42 	33 	62 	77 	81 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,WORLD,SI	172 	174 	223 	182 	337 	280 	210 	192 	171 	161 	149 	201 	135 	149 	89 	71 	153 	127 	158 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,WORLD,SK	206 	289 	228 	215 	159 	169 	135 	185 	52 	97 	149 	219 	187 	227 	207 	171 	189 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,OWN,WORLD,UK	277 	422 	289 	410 	461 	320 	380 	269 	143 	120 	86 	80 	145 	196 	183 	152 	389 	259 	298 	212 	365 	265 	279 	315 	384 	358 	213 	213 	176 	173 	171 	119 	58 	280 	261 	254 	207 	227 
MIO_TKM,TOT,AD,ES	8 	23 	2 	6 	1 	1 	8 	8 	5 	: 	3 	9 	4 	23 	54 	8 	: 	6 	13 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,AD,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5 	: 	: 	3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,AD,HU	: 	: 	: 	4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,AD,NL	: 	: 	: 	: 	: 	: 	1 	: 	: 	: 	: 	: 	: 	2 	3 	: 	0 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,AD,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,AFR_N,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	30 	16 	16 	36 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MIO_TKM,TOT,AFR_N,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	: 	: 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MIO_TKM,TOT,AFR_N,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 
MIO_TKM,TOT,AFR_N,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	21 	32 	31 	21 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,AFR_N,EU15	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	126 	: 	: 	170 	136 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,AFR_N,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16 	0 	47 	183 	100 	167 	129 	93 	43 	61 	5 	24 	3 	6 	14 	13 	0 
MIO_TKM,TOT,AFR_N,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 
MIO_TKM,TOT,AFR_N,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8 	3 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,AFR_N,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	15 	9 	6 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,AFR_N,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,AFR_N,UK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	55 	44 	29 	27 	10 	1 	7 	: 	: 	: 	: 	0 	: 	1 	1 	1 	3 
MIO_TKM,TOT,AL,AT	: 	: 	2 	: 	5 	: 	4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,AL,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,AL,BG	13 	: 	4 	: 	: 	: 	: 	: 	: 	25 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,AL,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,AL,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,AL,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,AL,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,AL,EL	: 	6 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2 	: 	: 	: 	: 	: 	: 	: 	1 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,AL,EU15	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,AL,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,AL,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,AL,HR	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,AL,HU	: 	: 	: 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,AL,IT	: 	: 	1 	: 	: 	: 	0 	: 	: 	: 	: 	5 	: 	: 	: 	: 	: 	: 	1 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,AL,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,AL,RO	: 	: 	: 	: 	6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,AM,CZ	: 	: 	30 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,AM,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	: 	7 	5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,AT,BE	45 	42 	25 	18 	40 	20 	32 	20 	8 	10 	14 	17 	37 	43 	38 	93 	112 	62 	34 	56 	99 	115 	102 	136 	: 	: 	: 	: 	85 	92 	88 	81 	47 	0 	37 	48 	0 	0 
MIO_TKM,TOT,AT,BG	162 	114 	95 	151 	216 	91 	105 	93 	13 	76 	115 	52 	153 	43 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,AT,CH	26 	25 	29 	27 	45 	37 	59 	44 	42 	54 	143 	75 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,AT,CY	0 	0 	: 	0 	: 	: 	: 	: 	: 	0 	0 	: 	0 	0 	0 	0 	1 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,AT,CZ	370 	357 	404 	438 	569 	553 	547 	505 	567 	581 	331 	455 	374 	340 	310 	329 	224 	282 	401 	157 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,AT,DE	1503 	1561 	1624 	1588 	1542 	1588 	1756 	1841 	1896 	2145 	1842 	2437 	2877 	2418 	2332 	2713 	2396 	1910 	2175 	1825 	1537 	1383 	1333 	1049 	835 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MIO_TKM,TOT,AT,DK	: 	2 	3 	10 	3 	: 	0 	12 	8 	9 	37 	50 	45 	27 	46 	59 	96 	103 	81 	87 	104 	84 	76 	46 	47 	49 	57 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MIO_TKM,TOT,AT,EE	4 	20 	31 	9 	17 	14 	41 	25 	4 	7 	10 	47 	9 	11 	19 	36 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,AT,EL	54 	99 	134 	42 	50 	10 	48 	: 	33 	22 	21 	52 	49 	8 	59 	25 	43 	: 	: 	: 	: 	: 	14 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MIO_TKM,TOT,AT,ES	405 	65 	194 	66 	179 	174 	182 	157 	126 	187 	173 	131 	65 	148 	45 	202 	238 	247 	162 	88 	67 	45 	64 	52 	31 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
MIO_TKM,TOT,AT,EU15	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2752 	: 	: 	335 	380 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,AT,FI	: 	: 	: 	: 	: 	19 	: 	: 	: 	20 	: 	: 	3 	: 	: 	20 	3 	1 	14 	: 	4 	: 	3 	4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,AT,FR	7 	11 	0 	13 	2 	6 	11 	6 	5 	6 	23 	10 	39 	50 	40 	88 	117 	90 	95 	153 	216 	197 	118 	235 	111 	114 	95 	162 	167 	129 	65 	70 	66 	70 	24 	21 	47 	0 
MIO_TKM,TOT,AT,HR	214 	253 	238 	230 	152 	185 	138 	145 	154 	154 	172 	199 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,AT,HU	734 	773 	771 	643 	689 	576 	567 	505 	517 	445 	442 	488 	488 	413 	299 	180 	168 	142 	165 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,AT,IE	: 	: 	: 	6 	: 	1 	: 	7 	10 	: 	: 	1 	: 	: 	: 	: 	16 	9 	11 	3 	1 	: 	: 	: 	: 	: 	: 	4 	: 	1 	: 	3 	13 	: 	: 	: 	: 	: 
MIO_TKM,TOT,AT,IT	477 	303 	181 	122 	414 	393 	293 	364 	583 	642 	526 	381 	383 	587 	558 	648 	511 	629 	676 	755 	596 	: 	458 	666 	57 	71 	65 	70 	106 	29 	70 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,AT,LI	: 	: 	: 	: 	: 	: 	2 	1 	2 	2 	3 	2 	2 	3 	4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,AT,LT	88 	71 	76 	31 	49 	58 	67 	87 	54 	30 	41 	60 	56 	66 	30 	34 	23 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,AT,LU	4 	4 	2 	3 	4 	2 	12 	9 	7 	8 	5 	6 	6 	5 	7 	4 	10 	9 	25 	24 	17 	: 	0 	1 	0 	5 	4 	6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,AT,LV	4 	28 	36 	27 	27 	43 	40 	23 	18 	11 	18 	50 	22 	6 	22 	26 	24 	16 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,AT,NL	70 	130 	62 	92 	140 	87 	116 	154 	114 	67 	75 	95 	170 	163 	254 	291 	264 	240 	222 	244 	262 	325 	339 	342 	0 	0 	0 	0 	0 	251 	217 	195 	154 	142 	3 	105 	6 	18 
MIO_TKM,TOT,AT,NO	: 	: 	1 	: 	: 	: 	: 	: 	: 	1 	1 	4 	17 	: 	4 	6 	9 	9 	5 	33 	19 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,AT,PL	1490 	1156 	1519 	905 	803 	864 	989 	780 	873 	876 	632 	589 	609 	392 	296 	210 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,AT,PT	144 	164 	39 	33 	19 	91 	38 	137 	20 	82 	: 	35 	66 	224 	6 	121 	27 	57 	60 	128 	40 	12 	36 	26 	0 	76 	29 	: 	21 	25 	12 	52 	19 	0 	: 	: 	: 	: 
MIO_TKM,TOT,AT,RO	548 	467 	399 	461 	379 	267 	305 	211 	170 	210 	277 	402 	609 	383 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,AT,SE	3 	16 	41 	10 	1 	8 	14 	5 	11 	4 	3 	0 	25 	23 	4 	12 	14 	3 	47 	2 	7 	12 	11 	24 	15 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,AT,SI	595 	521 	578 	416 	401 	447 	362 	381 	367 	306 	252 	366 	239 	247 	205 	182 	137 	119 	152 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,AT,SK	552 	540 	529 	430 	527 	326 	288 	326 	294 	297 	358 	313 	246 	156 	185 	178 	162 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,AT,UK	15 	16 	7 	5 	13 	1 	9 	14 	17 	6 	7 	3 	16 	19 	47 	10 	36 	26 	28 	54 	109 	143 	272 	169 	139 	140 	85 	138 	58 	114 	92 	39 	0 	0 	33 	37 	42 	37 
MIO_TKM,TOT,AZ,BG	4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,AZ,PL	: 	: 	: 	: 	: 	: 	35 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
