,unit,carriage,destination,origin,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
2075,MIO_TKM,OWN,FR,AT,15.0,23.0,14.0,11.0,20.0,30.0,15.0,28.0,13.0,23.0
2076,MIO_TKM,OWN,FR,BE,371.0,223.0,331.0,341.0,354.0,375.0,413.0,309.0,567.0,559.0
2077,MIO_TKM,OWN,FR,BG,77.0,,,9.0,13.0,,,,31.0,
2078,MIO_TKM,OWN,FR,CH,33.0,59.0,19.0,58.0,56.0,50.0,32.0,54.0,23.0,12.0
2079,MIO_TKM,OWN,FR,CY,,,,,,,,,,
2080,MIO_TKM,OWN,FR,CZ,3.0,8.0,2.0,11.0,2.0,38.0,29.0,29.0,19.0,21.0
2081,MIO_TKM,OWN,FR,DE,195.0,228.0,142.0,197.0,243.0,258.0,244.0,251.0,299.0,297.0
2082,MIO_TKM,OWN,FR,DK,,,,,,,2.0,2.0,,
2083,MIO_TKM,OWN,FR,ES,129.0,83.0,50.0,78.0,60.0,64.0,90.0,87.0,58.0,90.0
2084,MIO_TKM,OWN,FR,EU15,,,,,,,,,,
2085,MIO_TKM,OWN,FR,HU,6.0,8.0,14.0,6.0,9.0,13.0,17.0,10.0,14.0,28.0
2086,MIO_TKM,OWN,FR,IE,5.0,3.0,5.0,1.0,6.0,0.0,,3.0,2.0,4.0
2087,MIO_TKM,OWN,FR,IT,14.0,33.0,24.0,16.0,23.0,34.0,48.0,58.0,19.0,23.0
2088,MIO_TKM,OWN,FR,LT,22.0,,,,,,9.0,10.0,,
2089,MIO_TKM,OWN,FR,LU,178.0,202.0,276.0,311.0,228.0,245.0,119.0,74.0,57.0,64.0
2090,MIO_TKM,OWN,FR,LV,,,,,,,4.0,,12.0,
2091,MIO_TKM,OWN,FR,NL,184.0,192.0,178.0,216.0,207.0,173.0,208.0,165.0,178.0,235.0
2092,MIO_TKM,OWN,FR,NO,,,,,,,,,,
2093,MIO_TKM,OWN,FR,PL,444.0,163.0,219.0,72.0,144.0,179.0,108.0,251.0,131.0,197.0
2094,MIO_TKM,OWN,FR,PT,89.0,52.0,77.0,40.0,13.0,121.0,8.0,200.0,44.0,107.0
2095,MIO_TKM,OWN,FR,RO,192.0,122.0,141.0,155.0,113.0,136.0,100.0,68.0,93.0,100.0
2096,MIO_TKM,OWN,FR,SE,2.0,,,,,2.0,,,24.0,4.0
2097,MIO_TKM,OWN,FR,SI,1.0,4.0,8.0,5.0,15.0,6.0,1.0,9.0,4.0,9.0
2098,MIO_TKM,OWN,FR,SK,,6.0,9.0,3.0,,7.0,,38.0,,9.0
2099,MIO_TKM,OWN,FR,UK,75.0,53.0,30.0,62.0,66.0,102.0,62.0,89.0,7.0,2.0
2100,MIO_TKM,OWN,GI,DE,,,,,,,,,,
2101,MIO_TKM,OWN,GI,ES,2.0,2.0,,1.0,2.0,,,,3.0,1.0
2102,MIO_TKM,OWN,GI,PT,,,,1.0,,,,,,
2103,MIO_TKM,OWN,GI,UK,0.0,,,2.0,,,2.0,,,
2104,MIO_TKM,OWN,HR,AT,13.0,11.0,7.0,2.0,7.0,4.0,11.0,1.0,3.0,4.0
2105,MIO_TKM,OWN,HR,BE,1.0,0.0,,,,,,,,
2106,MIO_TKM,OWN,HR,CZ,,,,,5.0,,,,,
2107,MIO_TKM,OWN,HR,DE,,,,5.0,,,,,,6.0
2108,MIO_TKM,OWN,HR,HU,14.0,37.0,20.0,37.0,10.0,10.0,8.0,2.0,4.0,3.0
2109,MIO_TKM,OWN,HR,IT,,1.0,3.0,1.0,1.0,0.0,,1.0,,4.0
2110,MIO_TKM,OWN,HR,LU,,,,,,0.0,,,,
2111,MIO_TKM,OWN,HR,NL,15.0,,,,,6.0,,4.0,,4.0
2112,MIO_TKM,OWN,HR,PL,16.0,38.0,8.0,8.0,42.0,1.0,2.0,,,
2113,MIO_TKM,OWN,HR,RO,11.0,18.0,8.0,0.0,6.0,2.0,4.0,3.0,6.0,
2114,MIO_TKM,OWN,HR,SI,12.0,19.0,14.0,8.0,10.0,6.0,11.0,10.0,4.0,3.0
2115,MIO_TKM,OWN,HR,SK,2.0,,1.0,,,2.0,,2.0,,
2116,MIO_TKM,OWN,HU,AT,19.0,19.0,14.0,18.0,20.0,17.0,19.0,20.0,44.0,16.0
2117,MIO_TKM,OWN,HU,BE,,,,0.0,,,,,,
2118,MIO_TKM,OWN,HU,BG,,29.0,,,,,111.0,,,
2119,MIO_TKM,OWN,HU,CZ,1.0,,8.0,5.0,18.0,26.0,6.0,2.0,6.0,6.0
2120,MIO_TKM,OWN,HU,DE,1.0,20.0,5.0,21.0,1.0,5.0,6.0,4.0,12.0,20.0
2121,MIO_TKM,OWN,HU,DK,,,,,,,,,,
2122,MIO_TKM,OWN,HU,EU15,,,,,,,,,,
2123,MIO_TKM,OWN,HU,FR,,,,,,,,,,
2124,MIO_TKM,OWN,HU,HR,19.0,19.0,16.0,25.0,6.0,8.0,12.0,13.0,3.0,8.0
2125,MIO_TKM,OWN,HU,IT,,2.0,5.0,5.0,,,,,,
