aid,view,danmaku,reply,favorite,coin,share,now_rank,his_rank,like
369,2895,23,75,61,7,10,0,0,6
370,3881,57,42,41,3,3,0,0,1
371,12122,283,23,145,16,15,0,0,3
373,1751,13,23,50,6,8,0,0,4
375,5961,83,23,63,3,1,0,0,2
376,22196,2594,92,179,14,6,0,0,1
377,3299,141,28,43,4,4,0,0,3
378,1827,20,16,18,1,6,0,0,0
379,14450,1045,54,59,2,4,0,0,0
380,48389,1676,192,507,37,20,0,223,16
495,282025,2269,1937,11587,878,128,0,110,127
496,3329,46,35,33,3,7,0,0,1
497,9774,1126,121,153,7,11,0,0,10
498,41524,361,90,484,33,7,0,254,3
499,3231,104,34,20,3,2,0,0,0
502,4298,19,87,51,7,5,0,0,5
503,2928,167,34,32,4,4,0,0,0
505,9321,356,91,170,12,13,0,0,6
506,4021,67,41,46,11,4,0,0,5
507,4642,162,31,47,10,9,0,0,1
508,-1,5992,1448,5525,184,435,0,0,292
509,702,77,41,35,1,7,0,0,3
511,5652,110,49,23,4,7,0,0,2
512,8856,90,109,116,8,8,0,0,7
513,2166,17,37,42,2,4,0,0,1
516,10031,103,73,135,22,3,0,0,2
517,7173,1326,59,44,4,6,0,0,4
518,1636,11,42,25,4,3,0,0,3
519,802,13,25,25,3,4,0,0,1
520,62943,1217,1256,726,80,32,0,0,207
521,25720,466,511,235,44,32,0,0,106
522,2043,13,22,9,3,5,0,0,1
523,3207,43,44,24,5,4,0,0,0
525,2835,28,51,27,4,3,0,0,3
526,8258,177,66,138,15,7,0,0,2
527,598,86,48,30,8,8,0,0,0
528,3940,20,47,44,11,10,0,0,3
530,6151,478,56,74,15,7,0,0,1
531,2301,26,31,49,4,3,0,0,4
532,2050,21,26,33,2,7,0,0,0
533,5514,199,33,17,4,3,0,0,1
534,2026,23,38,50,5,8,0,0,1
535,4516,93,84,179,29,11,0,0,11
536,8755,506,46,60,2,4,0,0,2
537,2486,77,31,24,3,12,0,0,1
539,378,170,27,20,2,5,0,0,0
540,23131,926,156,833,75,16,0,0,15
541,1463,21,15,15,2,5,0,0,0
543,19446,84,206,85,28,5,0,0,49
544,2726,55,38,54,6,1,0,0,5
549,5819,77,41,153,20,19,0,0,8
550,11650,184,161,624,76,19,0,0,19
