launch year,world failure,world partial failure,world success,world planned,world success rate,world mean success rate after 2000,world std success rate after 2000,china failure,china partial failure,china success,china planned,china success rate,china mean success rate after 2000,china std success rate after 2000
1990,5,2,114,0,0.9421487603305785,0.9436509755591452,0.01776628400132694,0.0,0.0,5.0,0.0,1.0,0.9737219491170933,0.04979681591251801
1991,3,2,86,0,0.945054945054945,0.9436509755591452,0.01776628400132694,0.0,1.0,0.0,0.0,0.0,0.9737219491170933,0.04979681591251801
1992,3,1,94,0,0.9591836734693877,0.9436509755591452,0.01776628400132694,1.0,0.0,3.0,0.0,0.75,0.9737219491170933,0.04979681591251801
1993,4,2,77,0,0.927710843373494,0.9436509755591452,0.01776628400132694,0.0,0.0,1.0,0.0,1.0,0.9737219491170933,0.04979681591251801
1994,4,1,88,0,0.946236559139785,0.9436509755591452,0.01776628400132694,0.0,0.0,5.0,0.0,1.0,0.9737219491170933,0.04979681591251801
1995,5,3,72,0,0.9,0.9436509755591452,0.01776628400132694,1.0,0.0,1.0,0.0,0.5,0.9737219491170933,0.04979681591251801
1996,4,4,69,0,0.8961038961038961,0.9436509755591452,0.01776628400132694,1.0,1.0,2.0,0.0,0.5,0.9737219491170933,0.04979681591251801
1997,3,3,83,0,0.9325842696629213,0.9436509755591452,0.01776628400132694,0.0,0.0,6.0,0.0,1.0,0.9737219491170933,0.04979681591251801
1998,5,2,75,0,0.9146341463414634,0.9436509755591452,0.01776628400132694,0.0,0.0,6.0,0.0,1.0,0.9737219491170933,0.04979681591251801
1999,6,0,73,0,0.9240506329113924,0.9436509755591452,0.01776628400132694,0.0,0.0,4.0,0.0,1.0,0.9737219491170933,0.04979681591251801
2000,4,0,81,0,0.9529411764705882,0.9436509755591452,0.01776628400132694,0.0,0.0,5.0,0.0,1.0,0.9737219491170933,0.04979681591251801
2001,1,0,58,0,0.9830508474576272,0.9436509755591452,0.01776628400132694,0.0,0.0,1.0,0.0,1.0,0.9737219491170933,0.04979681591251801
2002,5,0,60,0,0.9230769230769231,0.9436509755591452,0.01776628400132694,0.0,0.0,4.0,0.0,1.0,0.9737219491170933,0.04979681591251801
2003,3,0,60,0,0.9523809523809523,0.9436509755591452,0.01776628400132694,0.0,0.0,6.0,0.0,1.0,0.9737219491170933,0.04979681591251801
2004,1,3,50,0,0.9259259259259259,0.9436509755591452,0.01776628400132694,0.0,0.0,8.0,0.0,1.0,0.9737219491170933,0.04979681591251801
2005,3,0,52,0,0.9454545454545454,0.9436509755591452,0.01776628400132694,0.0,0.0,5.0,0.0,1.0,0.9737219491170933,0.04979681591251801
2006,5,0,62,0,0.9253731343283582,0.9436509755591452,0.01776628400132694,0.0,0.0,6.0,0.0,1.0,0.9737219491170933,0.04979681591251801
2007,3,2,63,0,0.9264705882352942,0.9436509755591452,0.01776628400132694,0.0,0.0,10.0,0.0,1.0,0.9737219491170933,0.04979681591251801
2008,2,1,66,0,0.9565217391304348,0.9436509755591452,0.01776628400132694,0.0,0.0,11.0,0.0,1.0,0.9737219491170933,0.04979681591251801
2009,4,1,73,0,0.9358974358974359,0.9436509755591452,0.01776628400132694,0.0,1.0,5.0,0.0,0.8333333333333334,0.9737219491170933,0.04979681591251801
2010,4,0,70,0,0.9459459459459459,0.9436509755591452,0.01776628400132694,0.0,0.0,15.0,0.0,1.0,0.9737219491170933,0.04979681591251801
2011,6,0,78,0,0.9285714285714286,0.9436509755591452,0.01776628400132694,1.0,0.0,18.0,0.0,0.9473684210526315,0.9737219491170933,0.04979681591251801
2012,4,2,72,0,0.9230769230769231,0.9436509755591452,0.01776628400132694,0.0,0.0,19.0,0.0,1.0,0.9737219491170933,0.04979681591251801
2013,3,1,77,0,0.9506172839506173,0.9436509755591452,0.01776628400132694,1.0,0.0,13.0,0.0,0.9285714285714286,0.9737219491170933,0.04979681591251801
2014,2,2,88,0,0.9565217391304348,0.9436509755591452,0.01776628400132694,0.0,0.0,15.0,0.0,1.0,0.9737219491170933,0.04979681591251801
2015,4,1,82,0,0.9425287356321839,0.9436509755591452,0.01776628400132694,0.0,0.0,19.0,0.0,1.0,0.9737219491170933,0.04979681591251801
2016,2,1,82,0,0.9647058823529412,0.9436509755591452,0.01776628400132694,1.0,1.0,20.0,0.0,0.9090909090909091,0.9737219491170933,0.04979681591251801
2017,5,2,83,0,0.9222222222222223,0.9436509755591452,0.01776628400132694,1.0,1.0,15.0,0.0,0.8823529411764706,0.9737219491170933,0.04979681591251801
2018,2,1,91,39,0.9680851063829787,0.9436509755591452,0.01776628400132694,0.0,0.0,30.0,8.0,1.0,0.9737219491170933,0.04979681591251801
2019,0,0,0,165,,0.9436509755591452,0.01776628400132694,0.0,0.0,0.0,14.0,,0.9737219491170933,0.04979681591251801
2020,0,0,0,103,,0.9436509755591452,0.01776628400132694,0.0,0.0,0.0,14.0,,0.9737219491170933,0.04979681591251801
