dt, fans
2018-5-6-23-40-26,6403
2018-5-6-23-50-58,6403
2018-5-7-0-1-30,6403
2018-5-7-0-12-1,6404
2018-5-7-0-22-34,6404
2018-5-7-0-33-5,6405
2018-5-7-0-43-36,6405
2018-5-7-0-54-8,6405
2018-5-7-1-4-41,6405
2018-5-7-1-15-15,6405
2018-5-7-1-25-48,6405
2018-5-7-1-36-21,6406
2018-5-7-1-46-54,6406
2018-5-7-1-57-25,6407
2018-5-7-2-7-57,6407
2018-5-7-2-18-28,6407
2018-5-7-2-29-2,6407
2018-5-7-2-39-33,6408
2018-5-7-2-50-5,6408
2018-5-7-3-0-37,6408
2018-5-7-3-11-8,6408
2018-5-7-3-21-40,6408
2018-5-7-3-32-12,6410
2018-5-7-3-42-46,6410
2018-5-7-3-53-20,6410
2018-5-7-4-3-52,6410
2018-5-7-4-14-24,6410
2018-5-7-4-24-57,6410
2018-5-7-4-35-30,6410
2018-5-7-4-46-2,6410
2018-5-7-4-56-34,6410
2018-5-7-5-7-6,6410
2018-5-7-5-17-37,6410
2018-5-7-5-28-10,6410
2018-5-7-5-38-42,6410
2018-5-7-5-49-15,6411
2018-5-7-5-59-50,6411
2018-5-7-6-10-22,6411
2018-5-7-6-20-55,6411
2018-5-7-6-31-28,6411
2018-5-7-6-42-1,6411
2018-5-7-6-52-34,6411
2018-5-7-7-3-7,6411
2018-5-7-7-13-38,6412
2018-5-7-7-24-11,6412
2018-5-7-7-34-45,6412
2018-5-7-7-45-19,6413
2018-5-7-7-55-51,6413
2018-5-7-8-6-24,6415
2018-5-7-8-16-57,6415
2018-5-7-8-27-30,6415
2018-5-7-8-38-2,6415
2018-5-7-8-48-36,6415
2018-5-7-8-59-10,6416
2018-5-7-9-9-41,6416
2018-5-7-9-20-13,6416
2018-5-7-9-30-44,6417
2018-5-7-9-41-16,6417
2018-5-7-9-51-49,6418
2018-5-7-10-2-21,6419
2018-5-7-10-12-54,6419
2018-5-7-10-23-28,6419
2018-5-7-10-34-1,6420
2018-5-7-10-44-32,6420
2018-5-7-10-55-3,6422
2018-5-7-11-5-36,6423
2018-5-7-11-16-7,6423
