freq,unit,tra_meas,rep_airp,partner\TIME_PERIOD	2019-Q4 
Q,T,FRM_BRD,FI_EFSA,EU28	0 
Q,T,FRM_BRD,FI_EFTP,EU28	3 
Q,T,FRM_BRD,FI_EFTU,EU28	1069 
Q,T,FRM_BRD,FI_EFVA,EU28	4 
Q,T,FRM_BRD,FR_FMCZ,EU28	814 
Q,T,FRM_BRD,FR_FMEE,EU28	8569 
Q,T,FRM_BRD,FR_LFBD,EU28	2659 
Q,T,FRM_BRD,FR_LFBE,EU28	0 
Q,T,FRM_BRD,FR_LFBH,EU28	0 
Q,T,FRM_BRD,FR_LFBL,EU28	0 
Q,T,FRM_BRD,FR_LFBO,EU28	16628 
Q,T,FRM_BRD,FR_LFBP,EU28	16 
Q,T,FRM_BRD,FR_LFBT,EU28	0 
Q,T,FRM_BRD,FR_LFBZ,EU28	0 
Q,T,FRM_BRD,FR_LFJL,EU28	0 
Q,T,FRM_BRD,FR_LFKB,EU28	1806 
Q,T,FRM_BRD,FR_LFKC,EU28	1 
Q,T,FRM_BRD,FR_LFKF,EU28	0 
Q,T,FRM_BRD,FR_LFKJ,EU28	1547 
Q,T,FRM_BRD,FR_LFLB,EU28	7 
Q,T,FRM_BRD,FR_LFLC,EU28	159 
Q,T,FRM_BRD,FR_LFLL,EU28	10686 
Q,T,FRM_BRD,FR_LFLS,EU28	0 
Q,T,FRM_BRD,FR_LFMK,EU28	0 
Q,T,FRM_BRD,FR_LFML,EU28	14051 
Q,T,FRM_BRD,FR_LFMN,EU28	357 
Q,T,FRM_BRD,FR_LFMP,EU28	0 
Q,T,FRM_BRD,FR_LFMT,EU28	1605 
Q,T,FRM_BRD,FR_LFMU,EU28	0 
Q,T,FRM_BRD,FR_LFOB,EU28	0 
Q,T,FRM_BRD,FR_LFOK,EU28	51 
Q,T,FRM_BRD,FR_LFOT,EU28	0 
Q,T,FRM_BRD,FR_LFPG,EU28	114062 
Q,T,FRM_BRD,FR_LFPO,EU28	20034 
Q,T,FRM_BRD,FR_LFQQ,EU28	110 
Q,T,FRM_BRD,FR_LFRB,EU28	18 
Q,T,FRM_BRD,FR_LFRG,EU28	7 
Q,T,FRM_BRD,FR_LFRK,EU28	0 
