direct,unit,rep_mar\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 
IN,THS_T,DE_1DEGLU	43 	37 	49 	69 	87 	91 	71 	62 	57 	63 	59 	68 	101 	120 	168 	169 	176 	136 	125 	124 	107 	127 	73 
IN,THS_T,DE_1DEGXR	3 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
IN,THS_T,DE_1DEHAM	68112 	70453 	69394 	69971 	68013 	71297 	68511 	65086 	67195 	61901 	53921 	70882 	71000 	68860 	64178 	60197 	57158 	52745 	51084 	46073 	45306 	43536 	44569 
IN,THS_T,DE_1DEHGL	25 	33 	61 	64 	32 	32 	36 	16 	17 	16 	23 	28 	29 	12 	15 	16 	13 	22 	12 	18 	13 	13 	23 
IN,THS_T,DE_1DEHHS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	1 	: 	1 	9 	: 	: 	: 	: 	: 	7 	11 	10 
IN,THS_T,DE_1DEHMO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	47 
IN,THS_T,DE_1DEHOD	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5 	: 	: 	4 	0 	3 	1 	6 	10 	10 	7 	9 
IN,THS_T,DE_1DEHOO	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
IN,THS_T,DE_1DEHRM	0 	0 	0 	0 	0 	0 	0 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	1 	2 	2 	3 	14 	4 
IN,THS_T,DE_1DEHUS	267 	292 	287 	286 	319 	376 	335 	298 	261 	252 	262 	390 	292 	237 	318 	286 	316 	294 	300 	308 	332 	350 	359 
IN,THS_T,DE_1DEIAM	21 	19 	19 	18 	20 	18 	19 	17 	18 	19 	18 	24 	33 	23 	15 	25 	19 	19 	30 	39 	4 	5 	5 
IN,THS_T,DE_1DEITZ	: 	: 	: 	: 	: 	: 	3 	5 	6 	3 	4 	: 	: 	10 	21 	17 	27 	22 	8 	41 	29 	34 	32 
IN,THS_T,DE_1DEJUI	36 	27 	26 	26 	30 	21 	25 	23 	15 	24 	21 	23 	28 	23 	23 	21 	19 	19 	22 	26 	26 	24 	29 
IN,THS_T,DE_1DELEE	29 	48 	57 	39 	38 	24 	40 	44 	109 	92 	83 	68 	92 	135 	137 	139 	282 	240 	298 	343 	312 	381 	472 
IN,THS_T,DE_1DELGO	48 	55 	45 	62 	46 	48 	34 	29 	39 	45 	28 	29 	15 	11 	21 	21 	40 	31 	28 	33 	33 	27 	32 
IN,THS_T,DE_1DELIS	89 	63 	58 	77 	65 	52 	61 	68 	77 	56 	69 	83 	86 	75 	71 	59 	38 	46 	42 	46 	26 	32 	25 
IN,THS_T,DE_1DENES	1 	0 	0 	0 	0 	0 	0 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 
IN,THS_T,DE_1DENHA	1613 	2166 	2343 	1617 	1773 	1937 	2200 	2844 	3591 	3027 	3102 	3360 	3640 	3458 	3341 	3108 	2508 	2852 	3173 	1440 	1916 	1758 	2168 
IN,THS_T,DE_1DENHS	5 	4 	5 	6 	7 	5 	5 	1 	1 	0 	1 	1 	0 	0 	0 	0 	1 	1 	1 	1 	: 	1 	0 
IN,THS_T,DE_1DENOE	105 	133 	133 	129 	131 	130 	132 	188 	173 	120 	40 	44 	27 	28 	31 	27 	29 	32 	38 	34 	30 	45 	44 
IN,THS_T,DE_1DENOR	15 	5 	9 	0 	0 	0 	0 	2 	6 	12 	9 	8 	6 	5 	5 	3 	: 	: 	: 	: 	: 	: 	: 
IN,THS_T,DE_1DENRD	224 	254 	224 	235 	222 	223 	240 	293 	330 	209 	94 	110 	115 	115 	109 	90 	133 	162 	40 	29 	9 	31 	36 
IN,THS_T,DE_1DEOLO	67 	80 	63 	66 	76 	96 	107 	127 	132 	96 	117 	73 	87 	92 	32 	67 	94 	118 	148 	199 	237 	182 	239 
IN,THS_T,DE_1DEPAP	360 	402 	496 	383 	413 	378 	388 	413 	373 	321 	300 	250 	270 	297 	292 	341 	350 	261 	349 	462 	378 	341 	338 
IN,THS_T,DE_1DEPEL	26 	16 	7 	34 	1 	11 	2 	4 	8 	16 	38 	52 	29 	29 	38 	28 	20 	22 	15 	23 	3 	2 	3 
IN,THS_T,DE_1DESPI	12 	1 	: 	14 	20 	11 	11 	9 	7 	7 	7 	10 	10 	8 	9 	11 	9 	8 	6 	7 	7 	5 	5 
IN,THS_T,DE_1DESTA	: 	4015 	4028 	1 	: 	: 	1 	3 	1 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
IN,THS_T,DE_1DEWED	0 	33 	0 	0 	0 	0 	42 	239 	530 	609 	487 	543 	560 	871 	554 	775 	702 	707 	944 	730 	534 	323 	453 
IN,THS_T,DE_1DEWIF	2 	3 	3 	2 	3 	4 	4 	: 	1 	2 	3 	3 	3 	3 	3 	3 	3 	3 	3 	3 	3 	: 	3 
IN,THS_T,DE_1DEWMD	13 	10 	12 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
IN,THS_T,DE_1DEWVN	25195 	24170 	23720 	21690 	24241 	23060 	23844 	26049 	23817 	24285 	29824 	33147 	33330 	32906 	35436 	34950 	30970 	30278 	32239 	31386 	30035 	35037 	28344 
IN,THS_T,DE_2	28337 	28545 	29911 	27770 	27545 	28192 	26959 	27386 	29272 	30602 	27264 	31988 	31584 	30603 	28046 	28008 	27700 	27974 	28772 	31448 	29873 	28217 	29087 
IN,THS_T,DE_2DE117	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 
IN,THS_T,DE_2DE88O	0 	0 	: 	0 	0 	0 	0 	: 	: 	0 	0 	0 	0 	2 	4 	0 	0 	0 	: 	: 	: 	: 	: 
IN,THS_T,DE_2DEANK	: 	: 	: 	: 	1 	1 	1 	2 	1 	6 	0 	8 	7 	8 	15 	12 	13 	19 	30 	3 	: 	: 	1 
IN,THS_T,DE_2DEBOF	49 	: 	: 	63 	101 	91 	104 	62 	109 	99 	65 	101 	100 	64 	62 	85 	72 	92 	106 	164 	167 	128 	112 
IN,THS_T,DE_2DEBSK	5 	13 	6 	7 	6 	4 	3 	4 	1 	5 	3 	1 	3 	6 	5 	7 	7 	6 	6 	8 	7 	7 	8 
IN,THS_T,DE_2DEDMN	: 	: 	: 	: 	8 	5 	5 	14 	13 	22 	14 	20 	29 	15 	25 	12 	16 	20 	12 	: 	1 	: 	: 
IN,THS_T,DE_2DEECK	0 	0 	1 	0 	0 	: 	0 	: 	: 	: 	: 	: 	: 	: 	6 	6 	7 	7 	11 	12 	17 	12 	10 
IN,THS_T,DE_2DEFLF	280 	260 	228 	298 	353 	370 	398 	451 	502 	492 	488 	580 	464 	491 	543 	503 	543 	463 	618 	498 	518 	521 	536 
IN,THS_T,DE_2DEGRD	199 	91 	135 	91 	93 	96 	212 	113 	132 	167 	188 	209 	205 	228 	228 	200 	169 	253 	451 	751 	394 	455 	382 
IN,THS_T,DE_2DEHHF	14 	11 	6 	5 	10 	5 	8 	3 	5 	5 	12 	5 	1 	8 	11 	10 	18 	14 	37 	44 	33 	38 	38 
IN,THS_T,DE_2DEKAP	: 	: 	: 	: 	: 	: 	5 	6 	5 	15 	7 	14 	16 	26 	23 	35 	34 	42 	38 	34 	35 	36 	30 
IN,THS_T,DE_2DEKEL	3190 	2559 	3266 	2552 	2198 	2321 	1924 	2398 	2350 	2246 	1878 	1730 	1550 	1613 	1860 	1771 	1672 	1629 	1830 	1868 	1645 	1705 	2195 
IN,THS_T,DE_2DELAB	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
IN,THS_T,DE_2DELAU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13 	8 	15 	15 	11 	23 	9 	10 
IN,THS_T,DE_2DELBC	9039 	9325 	9208 	9002 	9549 	9918 	9690 	9838 	10168 	10565 	10374 	11929 	12404 	12142 	10657 	11283 	10619 	10419 	10338 	10887 	10512 	10207 	9719 
IN,THS_T,DE_2DENHO	20 	16 	30 	22 	6 	24 	18 	25 	34 	34 	29 	23 	27 	22 	31 	35 	42 	38 	39 	44 	59 	48 	50 
IN,THS_T,DE_2DEORT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	3 
IN,THS_T,DE_2DEPUT	2160 	2245 	2273 	2091 	1847 	1824 	2044 	1699 	1743 	1574 	1290 	1591 	1817 	1706 	1518 	1418 	1338 	1340 	1382 	1442 	1677 	1680 	2812 
IN,THS_T,DE_2DEREN	244 	288 	276 	237 	240 	284 	228 	179 	235 	185 	225 	178 	157 	228 	212 	229 	214 	194 	217 	269 	359 	382 	403 
IN,THS_T,DE_2DERSK	10739 	10759 	11376 	10691 	10085 	10097 	8896 	9426 	10203 	11126 	9424 	12023 	10706 	9875 	8758 	9003 	9307 	9600 	9643 	10984 	10349 	9481 	8969 
IN,THS_T,DE_2DESAS	580 	660 	715 	418 	324 	605 	838 	683 	1317 	1466 	1070 	1371 	1164 	1355 	1278 	1446 	1487 	1446 	1587 	1731 	1809 	1793 	2018 
IN,THS_T,DE_2DESTL	355 	563 	204 	173 	214 	242 	250 	288 	263 	263 	241 	344 	371 	385 	479 	552 	478 	500 	318 	387 	255 	368 	433 
IN,THS_T,DE_2DEUCK	0 	32 	35 	0 	0 	0 	0 	: 	: 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 
