direct,unit,rep_mar\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 
OUT,THS_T,FR_1FRCFR	: 	1276 	1107 	1188 	1226 	1166 	1309 	1216 	1305 	1511 	1174 	1332 	1433 	1467 	1289 	1241 	1179 	824 	1100 	1250 	1205 	988 	959 
OUT,THS_T,FR_1FRCOC	: 	0 	0 	0 	0 	0 	0 	13 	21 	: 	0 	0 	0 	0 	0 	9 	12 	4 	0 	0 	0 	1 	0 
OUT,THS_T,FR_1FRCQF	: 	11113 	11798 	11745 	11948 	12251 	11686 	10186 	11254 	10968 	11870 	11588 	11899 	12130 	11293 	10919 	9926 	10171 	9668 	9056 	10038 	9363 	9957 
OUT,THS_T,FR_1FRCRT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	0 	: 	: 	0 	0 	0 	0 	0 	0 	0 
OUT,THS_T,FR_1FRDKK	: 	11925 	10668 	11191 	11691 	11398 	10225 	12125 	12466 	10565 	11329 	13397 	12689 	13317 	12639 	11143 	11569 	10317 	10255 	9721 	7903 	7401 	7269 
OUT,THS_T,FR_1FRDPE	: 	394 	478 	531 	638 	446 	495 	479 	506 	498 	862 	536 	729 	762 	417 	385 	356 	236 	140 	56 	86 	306 	345 
OUT,THS_T,FR_1FRDRZ	: 	0 	3 	0 	0 	0 	0 	0 	3 	7 	6 	6 	0 	4 	2 	2 	5 	2 	1 	0 	0 	0 	0 
OUT,THS_T,FR_1FRFEC	: 	68 	48 	45 	43 	41 	22 	18 	11 	14 	29 	42 	0 	85 	98 	98 	98 	68 	68 	64 	82 	74 	65 
OUT,THS_T,FR_1FRGFR	: 	: 	: 	: 	: 	: 	0 	63 	81 	63 	127 	118 	0 	138 	197 	208 	221 	150 	143 	178 	150 	58 	45 
OUT,THS_T,FR_1FRGRV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	0 	: 	: 	0 	0 	0 	0 	0 	0 	0 
OUT,THS_T,FR_1FRHET	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
OUT,THS_T,FR_1FRHON	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 	0 	: 	: 	0 	0 	0 	1 	0 	0 	0 
OUT,THS_T,FR_1FRLAI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	0 	0 	0 	0 	0 	0 	0 
OUT,THS_T,FR_1FRLDN	: 	: 	: 	: 	: 	: 	0 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
OUT,THS_T,FR_1FRLEH	: 	18420 	18246 	16772 	17879 	17440 	17762 	15046 	15270 	15930 	17170 	19248 	18505 	17661 	17240 	17199 	16321 	14571 	15043 	14436 	14007 	13978 	12825 
OUT,THS_T,FR_1FRLEZ	: 	: 	: 	: 	: 	: 	: 	0 	6 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
OUT,THS_T,FR_1FRLFR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	0 	0 	0 	0 	0 	0 	0 
OUT,THS_T,FR_1FRLGU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 	: 	0 	0 	0 	0 	0 	0 	0 
OUT,THS_T,FR_1FRLRH	: 	4139 	3349 	3911 	4594 	4389 	4539 	3422 	3670 	3675 	3113 	3113 	2156 	2551 	2270 	2178 	3224 	2661 	2183 	2808 	3258 	2639 	2452 
OUT,THS_T,FR_1FRLRT	: 	81 	65 	65 	74 	83 	106 	80 	238 	71 	59 	49 	51 	71 	170 	80 	90 	90 	37 	30 	19 	50 	122 
OUT,THS_T,FR_1FRLSO	: 	391 	322 	345 	430 	390 	381 	388 	297 	293 	289 	254 	175 	212 	204 	204 	240 	219 	204 	214 	212 	170 	203 
OUT,THS_T,FR_1FRLTR	: 	39 	28 	39 	40 	51 	55 	36 	44 	30 	0 	25 	0 	34 	33 	33 	33 	55 	74 	84 	136 	62 	96 
OUT,THS_T,FR_1FRMSG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	0 	: 	: 	0 	0 	0 	0 	0 	0 	0 
OUT,THS_T,FR_1FRMXN	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
OUT,THS_T,FR_1FRNTE	: 	10153 	8834 	8064 	8555 	8575 	8918 	8615 	8457 	8126 	7206 	7620 	7724 	7130 	7602 	6973 	6166 	5744 	5998 	6477 	5981 	6765 	5284 
OUT,THS_T,FR_1FRPAI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5 	6 	: 	0 	: 	: 	0 	0 	0 	0 	0 	0 	0 
OUT,THS_T,FR_1FRPOX	: 	: 	: 	: 	0 	: 	: 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 
OUT,THS_T,FR_1FRPRJ	: 	: 	: 	: 	7 	: 	: 	9 	12 	9 	0 	10 	8 	0 	4 	4 	2 	0 	1 	0 	0 	0 	0 
OUT,THS_T,FR_1FRRCO	: 	109 	61 	41 	55 	93 	85 	105 	112 	83 	102 	117 	115 	184 	205 	218 	210 	185 	369 	283 	150 	107 	118 
OUT,THS_T,FR_1FRRDN	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
OUT,THS_T,FR_1FRROS	: 	31 	29 	36 	35 	28 	35 	38 	44 	49 	40 	54 	70 	61 	74 	230 	226 	237 	222 	174 	35 	28 	37 
OUT,THS_T,FR_1FRRYN	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
OUT,THS_T,FR_1FRSBK	: 	: 	: 	: 	: 	: 	: 	: 	: 	66 	96 	103 	0 	101 	97 	104 	87 	63 	81 	83 	80 	75 	88 
OUT,THS_T,FR_1FRSML	: 	181 	166 	146 	237 	328 	198 	115 	238 	294 	232 	272 	296 	324 	278 	366 	379 	323 	230 	207 	207 	193 	212 
OUT,THS_T,FR_1FRSVS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	0 	0 	0 	0 	0 	0 	0 
OUT,THS_T,FR_1FRTON	: 	291 	208 	251 	288 	213 	227 	149 	199 	225 	272 	158 	158 	225 	329 	250 	316 	349 	279 	275 	283 	312 	246 
OUT,THS_T,FR_1FRTRE	: 	2 	6 	2 	16 	21 	22 	12 	28 	21 	35 	53 	0 	47 	44 	39 	20 	12 	14 	14 	18 	22 	24 
OUT,THS_T,FR_1FRUIP	: 	0 	0 	: 	: 	: 	: 	12 	21 	0 	0 	0 	6 	0 	0 	0 	0 	0 	0 	0 	1 	0 	1 
OUT,THS_T,FR_1FRURO	: 	13807 	11919 	12037 	14053 	12697 	13025 	12229 	15328 	17124 	14238 	14142 	12725 	13080 	13332 	11598 	13278 	11175 	11778 	12695 	15192 	12378 	11905 
OUT,THS_T,FR_1FRVNE	: 	: 	: 	: 	: 	: 	29 	35 	26 	27 	25 	27 	0 	0 	1 	1 	23 	23 	24 	21 	24 	22 	23 
OUT,THS_T,FR_2	: 	23015 	21971 	22438 	22581 	21031 	21415 	22530 	22367 	20155 	21575 	21894 	21614 	22246 	21658 	21040 	19849 	19457 	19331 	19652 	18651 	19321 	19868 
OUT,THS_T,FR_2FRAJA	: 	46 	56 	44 	36 	39 	48 	244 	: 	44 	362 	275 	308 	322 	187 	174 	121 	35 	63 	36 	29 	27 	29 
OUT,THS_T,FR_2FRBIA	: 	237 	108 	158 	146 	152 	153 	149 	270 	154 	962 	912 	725 	857 	124 	355 	158 	126 	120 	123 	113 	108 	113 
OUT,THS_T,FR_2FRBON	: 	1 	2 	2 	0 	0 	3 	3 	3 	5 	8 	40 	0 	46 	12 	9 	0 	9 	10 	9 	8 	6 	7 
OUT,THS_T,FR_2FRCEQ	: 	0 	0 	0 	0 	0 	: 	: 	: 	: 	0 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
OUT,THS_T,FR_2FRCLY	: 	: 	: 	: 	0 	0 	1 	26 	30 	0 	0 	0 	0 	25 	0 	0 	0 	0 	0 	1 	1 	2 	1 
OUT,THS_T,FR_2FRILR	: 	3 	9 	5 	1 	1 	2 	1 	24 	30 	1 	0 	3 	79 	28 	3 	0 	3 	5 	9 	4 	4 	3 
OUT,THS_T,FR_2FRLCT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	0 	: 	: 	0 	0 	0 	0 	1 	0 	0 
OUT,THS_T,FR_2FRMRS	: 	20554 	19321 	20386 	20284 	18828 	18988 	20012 	19475 	18035 	18078 	19121 	19078 	19180 	19230 	18669 	17568 	17236 	16875 	16956 	16576 	17052 	17492 
OUT,THS_T,FR_2FRNCE	: 	178 	394 	: 	135 	143 	158 	172 	250 	300 	435 	0 	0 	0 	325 	297 	474 	460 	611 	424 	312 	327 	284 
OUT,THS_T,FR_2FRNOU	: 	390 	479 	366 	434 	487 	696 	636 	965 	796 	591 	693 	694 	851 	787 	703 	809 	835 	890 	986 	837 	800 	932 
OUT,THS_T,FR_2FRPOV	: 	28 	32 	43 	47 	49 	4 	28 	34 	27 	17 	29 	34 	31 	37 	40 	37 	24 	16 	11 	7 	9 	15 
OUT,THS_T,FR_2FRPRP	: 	2 	1 	1 	0 	0 	5 	5 	4 	4 	29 	0 	1 	25 	51 	0 	0 	0 	1 	5 	1 	12 	12 
OUT,THS_T,FR_2FRPVO	: 	16 	8 	: 	: 	0 	12 	15 	14 	12 	48 	50 	12 	44 	91 	41 	0 	42 	7 	7 	5 	30 	26 
OUT,THS_T,FR_2FRSET	: 	743 	841 	766 	809 	621 	696 	605 	712 	533 	442 	449 	437 	535 	531 	544 	541 	555 	511 	522 	564 	711 	635 
OUT,THS_T,FR_2FRSRL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 	0 	: 	: 	0 	0 	0 	0 	0 	0 	0 
OUT,THS_T,FR_2FRTLN	: 	817 	718 	666 	689 	710 	650 	633 	586 	216 	603 	324 	323 	249 	254 	204 	141 	133 	223 	564 	192 	231 	320 
OUT,THS_T,FR_3	: 	29 	25 	20 	31 	31 	26 	36 	25 	20 	25 	29 	30 	32 	44 	36 	42 	45 	43 	45 	65 	75 	78 
OUT,THS_T,FR_3GFCAY	: 	29 	25 	20 	31 	31 	26 	36 	25 	20 	25 	29 	30 	32 	44 	21 	28 	35 	38 	45 	65 	72 	76 
OUT,THS_T,FR_3GFLVT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
OUT,THS_T,FR_3GFQKR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	3 	3 
OUT,THS_T,FR_3GFSLM	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	14 	14 	10 	5 	0 	0 	0 	0 
OUT,THS_T,FR_4	: 	1356 	1327 	1396 	1573 	1740 	1532 	1689 	1467 	1441 	1512 	1749 	1616 	1541 	1497 	1457 	1213 	1101 	1107 	1174 	1219 	1130 	1331 
OUT,THS_T,FR_4GPPTP	: 	673 	686 	679 	663 	684 	744 	795 	612 	503 	502 	845 	691 	646 	512 	387 	382 	350 	391 	415 	424 	325 	388 
OUT,THS_T,FR_4MQFDF	: 	682 	641 	716 	910 	1056 	788 	894 	856 	938 	1011 	903 	925 	895 	985 	1070 	831 	751 	716 	759 	795 	805 	943 
OUT,THS_T,FR_5	: 	850 	982 	877 	485 	552 	550 	604 	575 	704 	595 	664 	560 	469 	531 	586 	494 	417 	473 	482 	403 	457 	454 
OUT,THS_T,FR_5REPDG	: 	850 	982 	877 	485 	552 	550 	604 	575 	704 	595 	664 	560 	469 	531 	586 	494 	417 	473 	482 	403 	457 	454 
OUT,THS_T,FR_9	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2 	59 	: 	88 	106 	119 	130 	79 	101 	50 	: 	: 
OUT,THS_T,FR_9FR888	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2 	59 	: 	88 	106 	119 	130 	79 	101 	50 	: 	: 
OUT,THS_T,HR	5405 	5715 	6187 	5843 	6446 	7397 	8094 	7103 	8594 	10041 	10053 	10636 	11446 	10820 	10049 	9684 	6923 	6979 	8159 	7571 	: 	: 	: 
OUT,THS_T,HR_0HRBAK	1382 	1900 	1871 	1739 	1603 	1258 	1522 	1511 	1372 	1659 	2062 	2024 	2237 	2237 	2514 	2767 	2163 	1654 	1654 	1979 	: 	: 	: 
OUT,THS_T,HR_0HRBAS	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	1 	0 	0 	0 	0 	: 	: 	: 
OUT,THS_T,HR_0HRBNM	1 	1 	1 	1 	1 	26 	12 	32 	21 	21 	27 	49 	42 	42 	40 	52 	0 	2 	1 	2 	: 	: 	: 
OUT,THS_T,HR_0HRBOL	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 
OUT,THS_T,HR_0HRBZA	0 	0 	0 	0 	0 	2 	1 	2 	1 	1 	1 	21 	14 	: 	: 	: 	0 	0 	0 	0 	: 	: 	: 
OUT,THS_T,HR_0HRCRA	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 
OUT,THS_T,HR_0HRCRS	0 	0 	0 	0 	0 	14 	17 	13 	12 	15 	17 	11 	11 	33 	40 	25 	1 	12 	5 	0 	: 	: 	: 
OUT,THS_T,HR_0HRCVT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 
OUT,THS_T,HR_0HRDBV	12 	12 	18 	14 	15 	15 	26 	6 	4 	2 	1 	1 	3 	1 	7 	7 	8 	2 	3 	9 	: 	: 	: 
OUT,THS_T,HR_0HRHVA	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 
OUT,THS_T,HR_0HRIST	0 	0 	0 	0 	0 	0 	0 	1 	1 	1 	1 	0 	0 	: 	0 	: 	: 	: 	: 	0 	: 	: 	: 
OUT,THS_T,HR_0HRJAB	6 	0 	0 	0 	4 	88 	86 	98 	82 	68 	91 	95 	98 	92 	65 	66 	19 	10 	5 	2 	: 	: 	: 
OUT,THS_T,HR_0HRJSA	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	: 	: 	: 
OUT,THS_T,HR_0HRKAB	0 	0 	0 	0 	: 	: 	0 	0 	0 	0 	: 	1 	0 	0 	0 	0 	0 	1 	0 	1 	: 	: 	: 
OUT,THS_T,HR_0HRKMZ	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	0 	0 	: 	: 	: 
OUT,THS_T,HR_0HRKOR	6 	0 	0 	0 	0 	105 	156 	145 	145 	75 	82 	110 	94 	56 	79 	71 	0 	2 	1 	6 	: 	: 	: 
OUT,THS_T,HR_0HRKRA	0 	: 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	7 	3 	0 	1 	: 	: 	: 
OUT,THS_T,HR_0HRKRK	0 	0 	0 	0 	0 	66 	120 	116 	97 	71 	80 	73 	72 	80 	110 	103 	0 	0 	0 	0 	: 	: 	: 
OUT,THS_T,HR_0HRLST	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 
OUT,THS_T,HR_0HRLSZ	0 	0 	0 	1 	1 	0 	1 	3 	2 	3 	2 	4 	6 	9 	2 	7 	3 	2 	3 	4 	: 	: 	: 
OUT,THS_T,HR_0HRMAK	2 	1 	4 	1 	0 	14 	24 	15 	14 	14 	12 	20 	27 	28 	19 	21 	0 	0 	0 	0 	: 	: 	: 
OUT,THS_T,HR_0HRMAL	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 
OUT,THS_T,HR_0HRMAS	0 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OUT,THS_T,HR_0HRMET	0 	3 	3 	1 	3 	3 	1 	0 	2 	5 	1 	7 	11 	17 	19 	17 	21 	20 	10 	9 	: 	: 	: 
OUT,THS_T,HR_0HRMIL	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	2 	1 	0 	0 	0 	0 	0 	0 	: 	: 	: 
OUT,THS_T,HR_0HRMOD	0 	0 	0 	: 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	: 	0 	: 	: 	: 
OUT,THS_T,HR_0HRMUR	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 
OUT,THS_T,HR_0HRNVD	0 	0 	0 	1 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 
OUT,THS_T,HR_0HRNVG	71 	0 	6 	151 	578 	870 	711 	277 	299 	459 	537 	640 	885 	690 	587 	853 	856 	428 	296 	454 	: 	: 	: 
OUT,THS_T,HR_0HRNVL	0 	0 	0 	0 	0 	4 	6 	7 	8 	9 	13 	21 	21 	17 	24 	32 	0 	3 	6 	1 	: 	: 	: 
OUT,THS_T,HR_0HROMI	167 	0 	0 	3 	3 	307 	34 	4 	94 	7 	0 	0 	0 	12 	1 	126 	225 	198 	237 	209 	: 	: 	: 
OUT,THS_T,HR_0HROMS	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	4 	0 	0 	18 	: 	: 	: 
OUT,THS_T,HR_0HROPA	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 
OUT,THS_T,HR_0HRPAG	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	3 	0 	4 	1 	0 	0 	0 	0 	0 	0 	: 	: 	: 
OUT,THS_T,HR_0HRPLE	578 	454 	593 	462 	477 	589 	669 	766 	1351 	1351 	929 	1341 	1253 	935 	918 	743 	314 	198 	179 	185 	: 	: 	: 
OUT,THS_T,HR_0HRPMN	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 
OUT,THS_T,HR_0HRPNT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 
OUT,THS_T,HR_0HRPOR	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 
OUT,THS_T,HR_0HRPRE	0 	0 	1 	1 	1 	18 	27 	6 	14 	11 	2 	5 	2 	1 	2 	7 	1 	1 	1 	1 	: 	: 	: 
OUT,THS_T,HR_0HRPRI	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 
OUT,THS_T,HR_0HRPUY	119 	57 	127 	345 	161 	175 	160 	148 	595 	587 	507 	702 	787 	862 	815 	952 	650 	472 	468 	473 	: 	: 	: 
OUT,THS_T,HR_0HRRAB	0 	0 	0 	0 	1 	29 	3 	3 	5 	3 	1 	1 	0 	2 	4 	8 	1 	0 	1 	0 	: 	: 	: 
OUT,THS_T,HR_0HRRAS	396 	497 	516 	548 	726 	545 	512 	660 	1171 	1882 	2170 	1929 	1730 	1423 	526 	731 	442 	1661 	2662 	1968 	: 	: 	: 
OUT,THS_T,HR_0HRRBC	0 	0 	0 	0 	0 	14 	14 	16 	17 	11 	21 	15 	19 	29 	22 	22 	0 	0 	0 	0 	: 	: 	: 
OUT,THS_T,HR_0HRRGC	0 	0 	0 	0 	0 	2 	4 	7 	6 	7 	8 	5 	4 	4 	2 	2 	0 	0 	0 	0 	: 	: 	: 
OUT,THS_T,HR_0HRRGN	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 
OUT,THS_T,HR_0HRRJK	1476 	1305 	1387 	1220 	1183 	1201 	1737 	1354 	1125 	1189 	1371 	1336 	1408 	1276 	1283 	1047 	975 	1093 	1171 	977 	: 	: 	: 
OUT,THS_T,HR_0HRROV	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 
OUT,THS_T,HR_0HRSAL	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	: 	: 	: 
OUT,THS_T,HR_0HRSBR	0 	0 	0 	0 	0 	2 	2 	0 	1 	1 	1 	2 	1 	0 	: 	3 	0 	0 	0 	0 	: 	: 	: 
OUT,THS_T,HR_0HRSEN	0 	0 	0 	0 	0 	0 	0 	: 	0 	0 	0 	: 	0 	0 	: 	0 	0 	0 	0 	0 	: 	: 	: 
OUT,THS_T,HR_0HRSGD	6 	1 	1 	1 	0 	17 	18 	30 	20 	33 	24 	44 	27 	28 	23 	23 	2 	1 	1 	1 	: 	: 	: 
OUT,THS_T,HR_0HRSGR	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	0 	: 	0 	0 	0 	: 	0 	: 	: 	: 	: 	: 	: 
OUT,THS_T,HR_0HRSIB	136 	188 	287 	311 	264 	314 	329 	224 	535 	370 	474 	413 	771 	783 	1026 	314 	233 	101 	146 	174 	: 	: 	: 
OUT,THS_T,HR_0HRSIL	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	1 	2 	0 	0 	0 	0 	0 	1 	0 	: 	: 	: 
OUT,THS_T,HR_0HRSLA	0 	0 	0 	0 	0 	3 	14 	1 	0 	0 	0 	0 	0 	0 	3 	5 	0 	0 	6 	0 	: 	: 	: 
OUT,THS_T,HR_0HRSLO	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 
OUT,THS_T,HR_0HRSMN	0 	0 	0 	0 	0 	3 	4 	3 	3 	6 	5 	11 	7 	8 	6 	5 	1 	1 	1 	2 	: 	: 	: 
OUT,THS_T,HR_0HRSPU	1007 	1165 	1296 	966 	1375 	1422 	1595 	1431 	1274 	1665 	1189 	1282 	1319 	1507 	1309 	1118 	618 	693 	891 	786 	: 	: 	: 
OUT,THS_T,HR_0HRSSK	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	3 	1 	1 	1 	1 	0 	: 	: 	: 
OUT,THS_T,HR_0HRSTO	1 	0 	3 	1 	0 	9 	11 	8 	5 	3 	3 	8 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 
OUT,THS_T,HR_0HRSUC	0 	0 	0 	0 	0 	3 	5 	3 	2 	3 	1 	1 	3 	2 	2 	3 	0 	0 	0 	0 	: 	: 	: 
OUT,THS_T,HR_0HRSUP	11 	107 	0 	0 	1 	51 	75 	51 	55 	87 	82 	125 	123 	123 	120 	110 	6 	5 	2 	1 	: 	: 	: 
OUT,THS_T,HR_0HRSVJ	0 	: 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OUT,THS_T,HR_0HRTNO	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
OUT,THS_T,HR_0HRTRJ	0 	0 	0 	0 	0 	10 	8 	1 	2 	0 	3 	5 	0 	0 	3 	2 	1 	1 	3 	2 	: 	: 	: 
OUT,THS_T,HR_0HRTRK	0 	8 	15 	13 	12 	0 	8 	11 	10 	10 	10 	12 	13 	17 	13 	23 	23 	22 	24 	17 	: 	: 	: 
OUT,THS_T,HR_0HRTRO	0 	0 	0 	0 	0 	2 	4 	5 	7 	1 	3 	3 	6 	6 	4 	5 	0 	0 	5 	0 	: 	: 	: 
OUT,THS_T,HR_0HRUBL	0 	0 	0 	0 	0 	1 	2 	1 	2 	4 	10 	6 	5 	4 	: 	1 	1 	0 	0 	0 	: 	: 	: 
OUT,THS_T,HR_0HRUMG	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	6 	23 	179 	145 	204 	255 	267 	318 	307 	235 	: 	: 	: 
OUT,THS_T,HR_0HRVDC	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	: 	: 	: 
OUT,THS_T,HR_0HRVIS	0 	0 	0 	0 	0 	4 	12 	10 	14 	12 	11 	10 	8 	6 	12 	7 	0 	0 	0 	0 	: 	: 	: 
OUT,THS_T,HR_0HRVLK	1 	3 	0 	1 	3 	7 	4 	4 	9 	7 	16 	12 	10 	24 	15 	14 	17 	3 	2 	1 	: 	: 	: 
OUT,THS_T,HR_0HRZAD	28 	12 	58 	61 	35 	204 	162 	128 	217 	385 	274 	266 	244 	318 	225 	137 	62 	70 	63 	50 	: 	: 	: 
OUT,THS_T,IE	17873 	17822 	17852 	17013 	17028 	18400 	15319 	16458 	15240 	14359 	12857 	15032 	15232 	14763 	14492 	13017 	12931 	12737 	13161 	13594 	12202 	11268 	10758 
OUT,THS_T,IE_0IEARK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	1 	61 	57 	50 	67 	193 	183 
OUT,THS_T,IE_0IEBYT	379 	307 	481 	113 	468 	692 	665 	1647 	691 	639 	555 	539 	776 	644 	731 	389 	609 	899 	1092 	987 	860 	254 	344 
OUT,THS_T,IE_0IECTB	2 	58 	0 	46 	: 	0 	0 	0 	: 	: 	0 	23 	2 	0 	0 	0 	0 	0 	0 	0 	0 	2 	8 
OUT,THS_T,IE_0IEDDK	62 	15 	44 	6 	6 	6 	19 	: 	7 	11 	24 	52 	58 	35 	18 	20 	11 	16 	11 	15 	4 	7 	2 
OUT,THS_T,IE_0IEDLG	0 	0 	0 	0 	0 	5 	1 	0 	7 	0 	3 	10 	16 	25 	59 	62 	72 	55 	71 	82 	80 	90 	0 
OUT,THS_T,IE_0IEDRO	683 	583 	513 	613 	731 	830 	636 	544 	169 	87 	41 	101 	104 	214 	297 	304 	252 	278 	263 	212 	137 	161 	175 
OUT,THS_T,IE_0IEDUB	9342 	9410 	9107 	8672 	8000 	7639 	7153 	7435 	7192 	6797 	5939 	6516 	6428 	6129 	5733 	5367 	5089 	4608 	4635 	5183 	4743 	4060 	3940 
OUT,THS_T,IE_0IEFOV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	71 	69 	35 	204 
OUT,THS_T,IE_0IEGRN	4 	8 	12 	3 	46 	49 	0 	3 	6 	8 	0 	1 	0 	2 	3 	0 	3 	0 	0 	11 	32 	31 	24 
